Turker Input 3,,,,,,,,,,,,,,,,,,,,,,,
Topic_1,Event_1,E_1_A,E_1_B,Topic_2,Event_2,E_2_A,E_2_B,Topic_3,Event_3,E_3_A,E_3_B,Topic_4,Event_4,E_4_A,E_4_B,Topic_5,Event_5,E_5_A,E_5_B,Topic_6,Event_6,E_6_A,E_6_B
Soccer (Eu football),Barca Vs. Man U,Barca,Man U,US Politics,Will HR1 pass in the house,Yes,No,Crypto Currency,Will bitcoin be up or down over the next week (from _ to _),Up,Down,Basketball,Will Detroit make the playoffs,Yes,No,Cricket,Who will win this game,Team A,Team B,Tennis,Who will win this match,Player A,Player B
